protocol,fold_name,output,R2,MAE,RMSE,n_test
LOGO,holdout_G01,Nuavg,0.990709772276808,0.6068784676997429,0.8814167612091883,768
LOGO,holdout_G01,DelP_Pa,0.999622252781399,7.778363691705205,12.353902331020317,768
LOGO,holdout_G02,Nuavg,0.9944410775321084,0.231210409699199,0.6378151024363665,768
LOGO,holdout_G02,DelP_Pa,0.9999940989870835,0.8113201710102601,1.5593188612549205,768
LOGO,holdout_G03,Nuavg,0.9934289457516173,0.29630732988608255,0.7085626100583381,768
LOGO,holdout_G03,DelP_Pa,0.9999970032320031,0.6413018952508639,1.1100007304975485,768
LOGO,holdout_G04,Nuavg,0.9777731371076561,0.6407467762472229,1.2755620736935338,768
LOGO,holdout_G04,DelP_Pa,0.9999259674788814,3.237918373942003,5.69985099942122,768
LOGO,holdout_G05,Nuavg,0.9819777887800977,0.5802361225831608,1.0973257124442661,768
LOGO,holdout_G05,DelP_Pa,0.9999235759067923,3.2958314923559446,5.762076081462316,768
LOGO,holdout_G06,Nuavg,0.935189041863549,1.3528052501950547,2.7353249818603724,768
LOGO,holdout_G06,DelP_Pa,0.985742036125949,51.80723911844033,84.74417766926129,768
